source,target,value,link,nodes
Abuse of Alcohol  Intoxication , Alcohol dependence with withdrawal unspecified,2,"{source:""Abuse of Alcohol Intoxication"", target:""Alcohol dependence with withdrawal unspecified"", value: 2}","{id:""GI GU Bowel Obstruction""}"
Abuse of Alcohol  Intoxication , Chest pain unspecified,2,"{source:""Abuse of Alcohol Intoxication"", target:""Chest pain unspecified"", value: 2}","{id:""GI GU Constipation""}"
Abuse of Alcohol  Withdrawal , Cutaneous abscess of neck,2,"{source:""Abuse of Alcohol Withdrawal"", target:""Cutaneous abscess of neck"", value: 2}","{id:""GI GU Diarrhea""}"
Abuse of Alcohol  Withdrawal , Opioid dependence with withdrawal,2,"{source:""Abuse of Alcohol Withdrawal"", target:""Opioid dependence with withdrawal"", value: 2}","{id:""GI GU Generalized Abdominal Pain""}"
Abuse of Alcohol  Withdrawal , Sepsis unspecified organism,2,"{source:""Abuse of Alcohol Withdrawal"", target:""Sepsis unspecified organism"", value: 2}","{id:""GI GU GU Problem Not Otherwise Listed""}"
Abuse of Alcohol , Anxiety disorder unspecified,2,"{source:""Abuse of Alcohol"", target:""Anxiety disorder unspecified"", value: 2}","{id:""GI GU Nausea""}"
Abuse of Alcohol , Hepatic failure unspecified without coma,2,"{source:""Abuse of Alcohol"", target:""Hepatic failure unspecified without coma"", value: 2}","{id:""GI GU Nausea With Vomiting""}"
Abuse of Alcohol , Laceration without foreign body of left forearm init encntr,2,"{source:""Abuse of Alcohol"", target:""Laceration without foreign body of left forearm init encntr"", value: 2}","{id:""GI GU Obesity""}"
Abuse of Alcohol , Other chest pain,2,"{source:""Abuse of Alcohol"", target:""Other chest pain"", value: 2}","{id:""GI GU Pelvic or Perineal Pain""}"
Abuse of Alcohol , Sepsis unspecified organism,2,"{source:""Abuse of Alcohol"", target:""Sepsis unspecified organism"", value: 2}","{id:""Hemorrhage not elsewhere classified""}"
Abuse of Alcohol , Toxic effect of unsp alcohol accidental init,2,"{source:""Abuse of Alcohol"", target:""Toxic effect of unsp alcohol accidental init"", value: 2}","{id:""History of falling""}"
Abuse of Alcohol , Unspecified sprain of left wrist initial encounter,2,"{source:""Abuse of Alcohol"", target:""Unspecified sprain of left wrist initial encounter"", value: 2}","{id:""Hyperglycemia""}"
Abuse of Hallucinogen , Abrasion of left hand initial encounter,2,"{source:""Abuse of Hallucinogen"", target:""Abrasion of left hand initial encounter"", value: 2}","{id:""Hypotension""}"
Abuse of Hallucinogen , Alcohol abuse uncomplicated,2,"{source:""Abuse of Hallucinogen"", target:""Alcohol abuse uncomplicated"", value: 2}","{id:""Infectious Common Cold""}"
Abuse of Hallucinogen , Anxiety disorder unspecified,2,"{source:""Abuse of Hallucinogen"", target:""Anxiety disorder unspecified"", value: 2}","{id:""Infectious Croup""}"
Abuse of Hallucinogen , Delusional disorders,2,"{source:""Abuse of Hallucinogen"", target:""Delusional disorders"", value: 2}","{id:""Infectious Disease Unspecified""}"
Abuse of Hallucinogen , Oth stimulant abuse w stim induce psych disorder w hallucin,2,"{source:""Abuse of Hallucinogen"", target:""Oth stimulant abuse w stim induce psych disorder w hallucin"", value: 2}","{id:""Infectious Influenza Flu Like Symptoms""}"
Abuse of Hallucinogen , Other psychoactive substance abuse uncomplicated,2,"{source:""Abuse of Hallucinogen"", target:""Other psychoactive substance abuse uncomplicated"", value: 2}","{id:""Infectious Pneumonia""}"
Abuse of Hallucinogen , Pain in left foot,2,"{source:""Abuse of Hallucinogen"", target:""Pain in left foot"", value: 2}","{id:""Infectious Sepsis""}"
Abuse of Hallucinogen , Unsp psychosis not due to a substance or known physiol cond,2,"{source:""Abuse of Hallucinogen"", target:""Unsp psychosis not due to a substance or known physiol cond"", value: 2}","{id:""Injury Ankle""}"
Abuse of Narcotic i.e. Heroin , Opioid abuse uncomplicated,2,"{source:""Abuse of Narcotic i.e. Heroin"", target:""Opioid abuse uncomplicated"", value: 2}","{id:""Injury Elbow""}"
Abuse of Narcotic i.e. Heroin , Opioid dependence uncomplicated,2,"{source:""Abuse of Narcotic i.e. Heroin"", target:""Opioid dependence uncomplicated"", value: 2}","{id:""Injury Eye and or Orbit""}"
Abuse of Narcotic i.e. Heroin , Opioid dependence with withdrawal,2,"{source:""Abuse of Narcotic i.e. Heroin"", target:""Opioid dependence with withdrawal"", value: 2}","{id:""Injury Face""}"
Abuse of Narcotic i.e. Heroin , Other chronic pain,2,"{source:""Abuse of Narcotic i.e. Heroin"", target:""Other chronic pain"", value: 2}","{id:""Injury Foot""}"
Abuse of Narcotic i.e. Heroin , Other stimulant abuse uncomplicated,2,"{source:""Abuse of Narcotic i.e. Heroin"", target:""Other stimulant abuse uncomplicated"", value: 2}","{id:""Injury Forearm""}"
Abuse of Narcotic i.e. Heroin , Poisoning by heroin accidental unintentional init encntr,2,"{source:""Abuse of Narcotic i.e. Heroin"", target:""Poisoning by heroin accidental unintentional init encntr"", value: 2}","{id:""Injury Head""}"
Abuse of Psychoactive Substance , Alcohol abuse with intoxication unspecified,2,"{source:""Abuse of Psychoactive Substance"", target:""Alcohol abuse with intoxication unspecified"", value: 2}","{id:""Injury Head with L.O.C.""}"
Abuse of Psychoactive Substance , Alcohol dependence with withdrawal unspecified,2,"{source:""Abuse of Psychoactive Substance"", target:""Alcohol dependence with withdrawal unspecified"", value: 2}","{id:""Injury Head without L.O.C.""}"
Abuse of Psychoactive Substance , Other stimulant use unspecified uncomplicated,2,"{source:""Abuse of Psychoactive Substance"", target:""Other stimulant use unspecified uncomplicated"", value: 2}","{id:""Injury Hip""}"
Abuse of Psychoactive Substance , Poisoning by oth opioids accidental unintentional init,2,"{source:""Abuse of Psychoactive Substance"", target:""Poisoning by oth opioids accidental unintentional init"", value: 2}","{id:""Injury Lower Back""}"
Abuse of Psychoactive Substance , Sepsis unspecified organism,2,"{source:""Abuse of Psychoactive Substance"", target:""Sepsis unspecified organism"", value: 2}","{id:""Injury Lower leg""}"
Abuse of Psychoactive Substance , Unsp psychosis not due to a substance or known physiol cond,2,"{source:""Abuse of Psychoactive Substance"", target:""Unsp psychosis not due to a substance or known physiol cond"", value: 2}","{id:""Injury Neck""}"
Alcohol dependence with intoxication unspecified , Alcohol dependence with withdrawal unspecified,2,"{source:""Alcohol dependence with intoxication unspecified"", target:""Alcohol dependence with withdrawal unspecified"", value: 2}","{id:""Injury Not Otherwise Listed""}"
Allergic Reaction , Anaphyl reaction due to advrs eff drug med prop admin init,2,"{source:""Allergic Reaction"", target:""Anaphyl reaction due to advrs eff drug med prop admin init"", value: 2}","{id:""Injury Pelvis""}"
Allergic Reaction , Headache,2,"{source:""Allergic Reaction"", target:""Headache"", value: 2}","{id:""Injury Shoulder or Upper Arm""}"
Allergic Reaction , Syncope and collapse,2,"{source:""Allergic Reaction"", target:""Syncope and collapse"", value: 2}","{id:""Injury Thigh upper leg""}"
Allergic Reaction , Unspecified abdominal pain,2,"{source:""Allergic Reaction"", target:""Unspecified abdominal pain"", value: 2}","{id:""Injury Wrist Hand or Fingers""}"
Behavioral  Anxiety , Alcohol abuse with intoxication unspecified,2,"{source:""Behavioral Anxiety"", target:""Alcohol abuse with intoxication unspecified"", value: 2}","{id:""Injury of unspecified cranial nerve initial encounter""}"
Behavioral  Anxiety , Allergy unspecified initial encounter,2,"{source:""Behavioral Anxiety"", target:""Allergy unspecified initial encounter"", value: 2}","{id:""Intracranial Stroke CVA Hemorrhagic""}"
Behavioral  Anxiety , Altered mental status unspecified,2,"{source:""Behavioral Anxiety"", target:""Altered mental status unspecified"", value: 2}","{id:""Lab Hyperkalemia""}"
Behavioral  Anxiety , Bipolar disorder unspecified,2,"{source:""Behavioral Anxiety"", target:""Bipolar disorder unspecified"", value: 2}","{id:""Laceration without foreign body unspecified thigh sequela""}"
Behavioral  Anxiety , Conduct disorder unspecified,2,"{source:""Behavioral Anxiety"", target:""Conduct disorder unspecified"", value: 2}","{id:""Nausea and vomiting""}"
Behavioral  Anxiety , Dehydration,2,"{source:""Behavioral Anxiety"", target:""Dehydration"", value: 2}","{id:""Neuro Altered Mental Status altered LOC decreased LOC""}"
Behavioral  Anxiety , Dystonia unspecified,2,"{source:""Behavioral Anxiety"", target:""Dystonia unspecified"", value: 2}","{id:""Neuro Headache Migraine Pain""}"
Behavioral  Anxiety , Localized edema,2,"{source:""Behavioral Anxiety"", target:""Localized edema"", value: 2}","{id:""Neuro Headache Pain""}"
Behavioral  Anxiety , Major depressv disorder recurrent severe w o psych features,2,"{source:""Behavioral Anxiety"", target:""Major depressv disorder recurrent severe w o psych features"", value: 2}","{id:""Neuro Paraplegia Paralysis""}"
Behavioral  Anxiety , Pneumonia unspecified organism,2,"{source:""Behavioral Anxiety"", target:""Pneumonia unspecified organism"", value: 2}","{id:""Neuro Seizure""}"
Behavioral  Anxiety , Sepsis unspecified organism,2,"{source:""Behavioral Anxiety"", target:""Sepsis unspecified organism"", value: 2}","{id:""Neuro Stroke CVA""}"
Behavioral  Anxiety , Unspecified asthma with acute exacerbation,2,"{source:""Behavioral Anxiety"", target:""Unspecified asthma with acute exacerbation"", value: 2}","{id:""Neuro TIA transient ischemic attack""}"
Behavioral  Depression , Bipolar disorder unspecified,2,"{source:""Behavioral Depression"", target:""Bipolar disorder unspecified"", value: 2}","{id:""Nontraumatic hematoma of soft tissue""}"
Behavioral  Depression , Generalized anxiety disorder,2,"{source:""Behavioral Depression"", target:""Generalized anxiety disorder"", value: 2}","{id:""Opioid use unspecified""}"
Behavioral  Depression , Hemorrhage of anus and rectum,2,"{source:""Behavioral Depression"", target:""Hemorrhage of anus and rectum"", value: 2}","{id:""Other abnormalities of breathing""}"
Behavioral  Depression , Major depressive disorder recurrent mild,2,"{source:""Behavioral Depression"", target:""Major depressive disorder recurrent mild"", value: 2}","{id:""Other acute kidney failure""}"
Behavioral  Depression , Pain in left knee,2,"{source:""Behavioral Depression"", target:""Pain in left knee"", value: 2}","{id:""Other chest pain""}"
Behavioral  Depression , Pneumonia unspecified organism,2,"{source:""Behavioral Depression"", target:""Pneumonia unspecified organism"", value: 2}","{id:""Other depressive episodes""}"
Behavioral  Depression , Proc trtmt not crd out d t pt lv bef seen by hlth care prov,2,"{source:""Behavioral Depression"", target:""Proc trtmt not crd out d t pt lv bef seen by hlth care prov"", value: 2}","{id:""Other fatigue""}"
Behavioral  Depression , Schizoaffective disorder bipolar type,2,"{source:""Behavioral Depression"", target:""Schizoaffective disorder bipolar type"", value: 2}","{id:""Other shoulder lesions unspecified shoulder""}"
Behavioral  Depression , Suicide attempt,2,"{source:""Behavioral Depression"", target:""Suicide attempt"", value: 2}","{id:""Other specified injuries of lower back initial encounter""}"
Behavioral  Depression , Syncope and collapse,2,"{source:""Behavioral Depression"", target:""Syncope and collapse"", value: 2}","{id:""Other symptoms and signs involving emotional state""}"
Behavioral  Depression , Unsp injury of right wrist hand and fingers init encntr,2,"{source:""Behavioral Depression"", target:""Unsp injury of right wrist hand and fingers init encntr"", value: 2}","{id:""Pain Back Non traumatic""}"
Behavioral  Disorientation , Brief psychotic disorder,2,"{source:""Behavioral Disorientation"", target:""Brief psychotic disorder"", value: 2}","{id:""Pain Chest presumed non cardiac""}"
Behavioral  Disorientation , Dehydration,2,"{source:""Behavioral Disorientation"", target:""Dehydration"", value: 2}","{id:""Pain Chronic""}"
Behavioral  Disorientation , Dizziness and giddiness,2,"{source:""Behavioral Disorientation"", target:""Dizziness and giddiness"", value: 2}","{id:""Pain Extremety Non traumatic""}"
Behavioral  Disorientation , Metabolic encephalopathy,2,"{source:""Behavioral Disorientation"", target:""Metabolic encephalopathy"", value: 2}","{id:""Pain Neck Non traumatic""}"
Behavioral  Disorientation , Sepsis unspecified organism,2,"{source:""Behavioral Disorientation"", target:""Sepsis unspecified organism"", value: 2}","{id:""Pain Not Elsewhere Mentioned Sudden Onset""}"
Behavioral  Hallucination  Visual , Cutaneous abscess of right upper limb,2,"{source:""Behavioral Hallucination Visual"", target:""Cutaneous abscess of right upper limb"", value: 2}","{id:""Pain unspecified""}"
Behavioral  Hallucination  Visual , Manic episode severe with psychotic symptoms,2,"{source:""Behavioral Hallucination Visual"", target:""Manic episode severe with psychotic symptoms"", value: 2}","{id:""Poisoning by other drugs medicaments and biological substances undetermined initial encounter""}"
Behavioral  Hostile , Violent behavior,2,"{source:""Behavioral Hostile"", target:""Violent behavior"", value: 2}","{id:""Poisoning by unspecified drugs medicaments and biological substances undetermined""}"
Behavioral  Mental Disorder Not Otherwise Listed , Acute bronchitis due to other specified organisms,2,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Acute bronchitis due to other specified organisms"", value: 2}","{id:""Psychiatric Problem Abnormal Behavior Suicide Attempt""}"
Behavioral  Mental Disorder Not Otherwise Listed , Adjustment disorder unspecified,2,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Adjustment disorder unspecified"", value: 2}","{id:""Repeated falls""}"
Behavioral  Mental Disorder Not Otherwise Listed , Adjustment disorder with anxiety,2,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Adjustment disorder with anxiety"", value: 2}","{id:""Resp Abnormal Breathing Hypoxia""}"
Behavioral  Mental Disorder Not Otherwise Listed , Adjustment disorder with mixed anxiety and depressed mood,2,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Adjustment disorder with mixed anxiety and depressed mood"", value: 2}","{id:""Respiratory Acute Onset Distress""}"
Behavioral  Mental Disorder Not Otherwise Listed , Alzheimer's disease unspecified,2,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Alzheimer""s disease unspecified"", value: 2}","{id:""Respiratory Asthma""}"
Behavioral  Mental Disorder Not Otherwise Listed , Atelectasis,2,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Atelectasis"", value: 2}","{id:""Respiratory Bronchospasm Acute Onset""}"
Behavioral  Mental Disorder Not Otherwise Listed , Bipolar disord crnt episode manic w o psych features mod,2,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Bipolar disord crnt episode manic w o psych features mod"", value: 2}","{id:""Respiratory COPD Chronic Obstructive Pulmonary Disease""}"
Behavioral  Mental Disorder Not Otherwise Listed , Bipolar disord crnt epsd manic w o psych features severe,2,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Bipolar disord crnt epsd manic w o psych features severe"", value: 2}","{id:""Respiratory Failure""}"
Behavioral  Mental Disorder Not Otherwise Listed , Bipolar disorder current episode hypomanic,2,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Bipolar disorder current episode hypomanic"", value: 2}","{id:""Respiratory Foreign Body Airway""}"
Behavioral  Mental Disorder Not Otherwise Listed , Bipolar II disorder,2,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Bipolar II disorder"", value: 2}","{id:""Respiratory Hyperventilation""}"
Behavioral  Mental Disorder Not Otherwise Listed , Chronic obstructive pulmonary disease w acute exacerbation,2,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Chronic obstructive pulmonary disease w acute exacerbation"", value: 2}","{id:""Respiratory Not Otherwise Listed""}"
Behavioral  Mental Disorder Not Otherwise Listed , Concussion w LOC of 30 minutes or less init,2,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Concussion w LOC of 30 minutes or less init"", value: 2}","{id:""Respiratory Pneumothorax Spontaneous""}"
Behavioral  Mental Disorder Not Otherwise Listed , Conduct disorder childhood onset type,2,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Conduct disorder childhood onset type"", value: 2}","{id:""Respiratory Pulmonary Edema Acute Onset""}"
Behavioral  Mental Disorder Not Otherwise Listed , Disorientation unspecified,2,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Disorientation unspecified"", value: 2}","{id:""Respiratory Smoke Inhalation""}"
Behavioral  Mental Disorder Not Otherwise Listed , Drug use complicating pregnancy first trimester,2,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Drug use complicating pregnancy first trimester"", value: 2}","{id:""Respiratory arrest""}"
Behavioral  Mental Disorder Not Otherwise Listed , Encounter for issue of repeat prescription,2,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Encounter for issue of repeat prescription"", value: 2}","{id:""root""}"
Behavioral  Mental Disorder Not Otherwise Listed , Hematuria unspecified,2,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Hematuria unspecified"", value: 2}","{id:""Sepsis Other""}"
Behavioral  Mental Disorder Not Otherwise Listed , Inj poisn oth conseq of external causes comp preg unsp tri,2,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Inj poisn oth conseq of external causes comp preg unsp tri"", value: 2}","{id:""Severe sepsis with septic shock""}"
Behavioral  Mental Disorder Not Otherwise Listed , Laceration w o foreign body of oth part of head init encntr,2,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Laceration w o foreign body of oth part of head init encntr"", value: 2}","{id:""Sick Person""}"
Behavioral  Mental Disorder Not Otherwise Listed , Localized swelling mass and lump head,2,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Localized swelling mass and lump head"", value: 2}","{id:""State of emotional shock and stress unspecified""}"
Behavioral  Mental Disorder Not Otherwise Listed , Major depressv disord single epsd severe w psych features,2,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Major depressv disord single epsd severe w psych features"", value: 2}","{id:""Stupor""}"
Behavioral  Mental Disorder Not Otherwise Listed , Malingerer [conscious simulation],2,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Malingerer [conscious simulation]"", value: 2}","{id:""Suicidal ideations""}"
Behavioral  Mental Disorder Not Otherwise Listed , Manic episode severe with psychotic symptoms,2,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Manic episode severe with psychotic symptoms"", value: 2}","{id:""Syncope Syncopal Episode or Near""}"
Behavioral  Mental Disorder Not Otherwise Listed , Nicotine dependence cigarettes uncomplicated,2,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Nicotine dependence cigarettes uncomplicated"", value: 2}","{id:""Unspecified abdominal pain""}"
Behavioral  Mental Disorder Not Otherwise Listed , Opioid dependence with withdrawal,2,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Opioid dependence with withdrawal"", value: 2}","{id:""Unspecified convulsions""}"
Behavioral  Mental Disorder Not Otherwise Listed , Oth psychoactv substance use unsp w psych disorder unsp,2,"{source:""Behavioral Mental Disorder Not Otherwise Listed"", target:""Oth psychoactv substance use unsp w psych disorder unsp"", value: 2}","{id:""Unspecified fracture of shaft of unspecified tibia sequela""}"
