,complaint,impression,diagnosis,count
1098,Assault,Laceration ion Without Foreign Body Thigh Sequela,Laceration ,3
1141,Assault,Not Applicable,Stimulant Abuse,3
1156,Assault,Not Recorded,Stimulant Abuse,3
1164,Assault,Pain,Injury Of Head,3
1191,Assault,Pain Not Elsewhere Mentioned Sudden Onset,Contusion Of Front Wall Of Thorax,3
1198,Assault,Pain Not Elsewhere Mentioned Sudden Onset,Laceration ,4
1213,Assault,Sexual Abuse Suspected,Adult Sexual Abuse,11
1256,Back Pain NonTraumatic,GI GU Abdominal Pain Acute Onset,Hydronephrosis,4
1280,Back Pain NonTraumatic,Injury Lower Back,Low Back Pain,13
1315,Back Pain NonTraumatic,Not Recorded,Low Back Pain,3
1342,Back Pain NonTraumatic,Pain,Low Back Pain,8
1352,Back Pain NonTraumatic,Pain,Strain Of Musclele,4
1359,Back Pain NonTraumatic,Pain Back Nontraumatic,Abdominal Pain,10
1370,Back Pain NonTraumatic,Pain Back Nontraumatic,Calculus Of Kidney,3
1371,Back Pain NonTraumatic,Pain Back Nontraumatic,Calculus Of Ureter,3
1374,Back Pain NonTraumatic,Pain Back Nontraumatic,Chronic Pain,10
1375,Back Pain NonTraumatic,Pain Back Nontraumatic,Collapsed Vertebra,4
1384,Back Pain NonTraumatic,Pain Back Nontraumatic,Dorsalgia,20
1387,Back Pain NonTraumatic,Pain Back Nontraumatic,Fracture Of Lumbar Vertebra,5
1393,Back Pain NonTraumatic,Pain Back Nontraumatic,Intervertebral Disc Degeneration,4
1395,Back Pain NonTraumatic,Pain Back Nontraumatic,Intervertebral Disc Displacement,8
1397,Back Pain NonTraumatic,Pain Back Nontraumatic,Low Back Pain,59
1398,Back Pain NonTraumatic,Pain Back Nontraumatic,Lumbago,19
1402,Back Pain NonTraumatic,Pain Back Nontraumatic,Musclele Spasm Of Back,6
1407,Back Pain NonTraumatic,Pain Back Nontraumatic,Pain In Hip,3
1409,Back Pain NonTraumatic,Pain Back Nontraumatic,Pain In Thoracic Spine,7
1417,Back Pain NonTraumatic,Pain Back Nontraumatic,Radiculopathy,3
1421,Back Pain NonTraumatic,Pain Back Nontraumatic,Sciatica,4
1422,Back Pain NonTraumatic,Pain Back Nontraumatic,Secondary Malignant Neoplasm Of Bone,3
1423,Back Pain NonTraumatic,Pain Back Nontraumatic,Sepsis,8
1429,Back Pain NonTraumatic,Pain Back Nontraumatic,Strain Of Musclele,13
1430,Back Pain NonTraumatic,Pain Back Nontraumatic,Strain Of Musclele And Tendon Of Back Wall Of Thorax,4
1434,Back Pain NonTraumatic,Pain Back Nontraumatic,TubuloInterstitial Nephritis,4
1435,Back Pain NonTraumatic,Pain Back Nontraumatic,Urinary Tract Infection,5
1441,Back Pain NonTraumatic,Pain Chronic,Abdominal Pain,4
1442,Back Pain NonTraumatic,Pain Chronic,Atopic Dermatitis,4
1466,Back Pain NonTraumatic,Pain Not Elsewhere Mentioned Sudden Onset,Low Back Pain,3
1500,Breathing Problem,Abdominal Pain,Sepsis,3
1517,Breathing Problem,Abnormalities Of Breathing,Pneumonia,3
1520,Breathing Problem,Abuse Of Alcohol,Alcohol Abuse,5
1526,Breathing Problem,Abuse Of Alcohol Intoxication,Alcohol Abuse,6
1554,Breathing Problem,Abuse Of Psychoactive Substance,Stimulant Abuse,3
1567,Breathing Problem,Allergic Reaction,Anaphylactic Reaction,3
1568,Breathing Problem,Allergic Reaction,Anaphylactic Shock,4
1585,Breathing Problem,Behavioral Anxiety,Anxiety Disorder,5
1590,Breathing Problem,Behavioral Anxiety,Chest Pain,7
1602,Breathing Problem,Behavioral Anxiety,Generalized Anxiety Disorder,5
1613,Breathing Problem,Behavioral Anxiety,Sepsis,3
1615,Breathing Problem,Behavioral Anxiety,Shortness Of Breath,3
1633,Breathing Problem,Behavioral Mental Disorder Not Otherwise Listed,Anxiety Disorder,7
1635,Breathing Problem,Behavioral Mental Disorder Not Otherwise Listed,Chest Pain,5
1636,Breathing Problem,Behavioral Mental Disorder Not Otherwise Listed,Chronic Obstructive Pulmonary Disease,3
1648,Breathing Problem,Behavioral Mental Disorder Not Otherwise Listed,Major Depressive Disorder,3
1650,Breathing Problem,Behavioral Mental Disorder Not Otherwise Listed,Panic Disorder [Episodic Paroxysmal Anxiety],5
1653,Breathing Problem,Behavioral Mental Disorder Not Otherwise Listed,Psychoactive Substance Abuse,3
1659,Breathing Problem,Behavioral Mental Disorder Not Otherwise Listed,Stimulant Abuse,3
1675,Breathing Problem,CV Cardiac Arrest,Cardiac Arrest,14
1680,Breathing Problem,CV Cardiac Arrhythmia Dysrhythmia,Atrial Fibrillation,4
1686,Breathing Problem,CV Cardiac Arrhythmia Dysrhythmia,Chest Pain,3
1705,Breathing Problem,CV Chest Pain Angina,Chest Pain,3
1717,Breathing Problem,CV Chest Pain Presumed Cardiac,Chest Pain,11
1740,Breathing Problem,CV Congestive Heart Failure Chf,Hypertensive Heart Disease,3
1744,Breathing Problem,CV Congestive Heart Failure Chf,Sepsis,4
1760,Breathing Problem,CV Hypotension,Dehydration,3
1767,Breathing Problem,CV Pulmonary Embolism,Pulmonary Embolism,3
1774,Breathing Problem,Chest Pain,Chest Pain,11
1793,Breathing Problem,Chronic Obstructive Pulmonary Disease,Acute And Chronic Respiratory Failure,4
1795,Breathing Problem,Chronic Obstructive Pulmonary Disease,Chronic Obstructive Pulmonary Disease,5
1800,Breathing Problem,Chronic Obstructive Pulmonary Disease,Sepsis,3
1804,Breathing Problem,Convulsions,Epilepsy,3
1831,Breathing Problem,Endocrine Hyperglycemia Diabetic Diabetes,Type 1 Diabetes Mellitus,3
1856,Breathing Problem,Fever,Pneumonia,6
1858,Breathing Problem,Fever,Sepsis,12
1859,Breathing Problem,Fever,Simple Febrile Convulsions,3
1872,Breathing Problem,GI GU Abdominal Pain Acute Onset,Generalized Abdominal Pain,4
1885,Breathing Problem,GI GU Generalized Abdominal Pain,Epigastric Pain,3
1921,Breathing Problem,GI GU Nausea,Sepsis,3
1947,Breathing Problem,General Malaise,Pneumonia,3
1948,Breathing Problem,General Malaise,Sepsis,5
1988,Breathing Problem,Infectious Croup,Acute Obstructive Laryngitis [Croup],10
2001,Breathing Problem,Infectious Pneumonia,Acute And Chronic Respiratory Failure,3
2003,Breathing Problem,Infectious Pneumonia,Acute Respiratory Failure,3
2006,Breathing Problem,Infectious Pneumonia,Bronchitis,3
2008,Breathing Problem,Infectious Pneumonia,Chronic Obstructive Pulmonary Disease,5
2015,Breathing Problem,Infectious Pneumonia,NonSt Elevation Nstemi Myocardial Infarction,3
2017,Breathing Problem,Infectious Pneumonia,Pneumonia,4
2022,Breathing Problem,Infectious Pneumonia,Sepsis,21
2028,Breathing Problem,Infectious Sepsis,Sepsis,10
2063,Breathing Problem,Neuro Altered Mental Status Altered Loc Decreased Loc,Acute And Chronic Respiratory Failure,3
2064,Breathing Problem,Neuro Altered Mental Status Altered Loc Decreased Loc,Acute Kidney Failure,3
2066,Breathing Problem,Neuro Altered Mental Status Altered Loc Decreased Loc,Acute Respiratory Failure,5
2067,Breathing Problem,Neuro Altered Mental Status Altered Loc Decreased Loc,Alcohol Abuse,5
2069,Breathing Problem,Neuro Altered Mental Status Altered Loc Decreased Loc,Altered Mental Status,8
2071,Breathing Problem,Neuro Altered Mental Status Altered Loc Decreased Loc,Anxiety Disorder,7
2078,Breathing Problem,Neuro Altered Mental Status Altered Loc Decreased Loc,Chronic Obstructive Pulmonary Disease,3
2079,Breathing Problem,Neuro Altered Mental Status Altered Loc Decreased Loc,Convulsions,3
2111,Breathing Problem,Neuro Altered Mental Status Altered Loc Decreased Loc,Sepsis,14
2113,Breathing Problem,Neuro Altered Mental Status Altered Loc Decreased Loc,Syncope And Collapse,4
2134,Breathing Problem,Neuro Paraplegia Paralysis,Pneumonitis,4
2141,Breathing Problem,Neuro Seizure,Epilepsy,5
2145,Breathing Problem,Neuro Seizure,Seizures,3
2147,Breathing Problem,Neuro Seizure,Simple Febrile Convulsions,6
2180,Breathing Problem,Not Applicable,Chronic Obstructive Pulmonary Disease,4
2183,Breathing Problem,Not Applicable,Dyspnea,3
2195,Breathing Problem,Not Applicable,Pain In Thoracic Spine,3
2201,Breathing Problem,Not Applicable,Shortness Of Breath,3
2207,Breathing Problem,Not Recorded,Acute And Chronic Respiratory Failure,9
2208,Breathing Problem,Not Recorded,Acute Bronchiolitis,3
2214,Breathing Problem,Not Recorded,Acute Respiratory Failure,3
2220,Breathing Problem,Not Recorded,Asthma,7
2229,Breathing Problem,Not Recorded,Chest Pain,7
2230,Breathing Problem,Not Recorded,Chronic Obstructive Pulmonary Disease,18
2251,Breathing Problem,Not Recorded,Hyp Hrt & Chr Kdny Dis,4
2252,Breathing Problem,Not Recorded,Hypertensive Heart Disease,6
2261,Breathing Problem,Not Recorded,NonSt Elevation Nstemi Myocardial Infarction,5
2266,Breathing Problem,Not Recorded,Paroxysmal Atrial Fibrillation,3
2269,Breathing Problem,Not Recorded,Pneumonia,6
2277,Breathing Problem,Not Recorded,Sepsis,26
2279,Breathing Problem,Not Recorded,Shortness Of Breath,5
2280,Breathing Problem,Not Recorded,Simple Febrile Convulsions,3
2290,Breathing Problem,Not Recorded,Weakness,3
2315,Breathing Problem,Pain,Sepsis,3
2346,Breathing Problem,Pain Chest Presumed Noncardiac,Chest Pain,7
2352,Breathing Problem,Pain Chest Presumed Noncardiac,Dyspnea,3
2414,Breathing Problem,Resp Abnormal Breathing Hypoxia,Chronic Obstructive Pulmonary Disease,4
2420,Breathing Problem,Resp Abnormal Breathing Hypoxia,Hypertensive Heart Disease,5
2427,Breathing Problem,Resp Abnormal Breathing Hypoxia,Sepsis,10
2436,Breathing Problem,Respiratory Acute Onset Distress,Acute And Chronic Respiratory Failure,50
2437,Breathing Problem,Respiratory Acute Onset Distress,Acute Bronchiolitis,13
2438,Breathing Problem,Respiratory Acute Onset Distress,Acute Bronchitis,11
2441,Breathing Problem,Respiratory Acute Onset Distress,Acute Kidney Failure,3
2443,Breathing Problem,Respiratory Acute Onset Distress,Acute Obstructive Laryngitis [Croup],19
2444,Breathing Problem,Respiratory Acute Onset Distress,Acute On Chronic Combined Systolic And Diastolic Hrt Fail,3
2445,Breathing Problem,Respiratory Acute Onset Distress,Acute On Chronic Diastolic Congestive Heart Failure,5
2446,Breathing Problem,Respiratory Acute Onset Distress,Acute On Chronic Systolic Congestive Heart Failure,6
2450,Breathing Problem,Respiratory Acute Onset Distress,Acute Respiratory Failure,42
2451,Breathing Problem,Respiratory Acute Onset Distress,Acute Respiratory Infection,10
2458,Breathing Problem,Respiratory Acute Onset Distress,Anxiety Disorder,9
2461,Breathing Problem,Respiratory Acute Onset Distress,Asthma,24
2467,Breathing Problem,Respiratory Acute Onset Distress,Bacterial Pneumonia,5
2469,Breathing Problem,Respiratory Acute Onset Distress,Cardiac Arrest,9
2470,Breathing Problem,Respiratory Acute Onset Distress,Cellulitis Of Limb,4
2472,Breathing Problem,Respiratory Acute Onset Distress,Chest Pain,9
2474,Breathing Problem,Respiratory Acute Onset Distress,Chronic Obstructive Pulmonary Disease,102
2477,Breathing Problem,Respiratory Acute Onset Distress,Chronic Pulmonary Edema,3
2488,Breathing Problem,Respiratory Acute Onset Distress,Dizziness And Giddiness,3
2489,Breathing Problem,Respiratory Acute Onset Distress,Dyspnea,17
2497,Breathing Problem,Respiratory Acute Onset Distress,Epistaxis,3
2502,Breathing Problem,Respiratory Acute Onset Distress,Forn Obj In Resp Tract,3
2511,Breathing Problem,Respiratory Acute Onset Distress,Heart Failure,5
2515,Breathing Problem,Respiratory Acute Onset Distress,Hyp Hrt & Chr Kdny Dis,21
2518,Breathing Problem,Respiratory Acute Onset Distress,Hypertensive Heart Disease,24
2522,Breathing Problem,Respiratory Acute Onset Distress,Hypoxemia,9
2544,Breathing Problem,Respiratory Acute Onset Distress,Moderate Persistent Asthma,6
2549,Breathing Problem,Respiratory Acute Onset Distress,NonSt Elevation Nstemi Myocardial Infarction,13
2555,Breathing Problem,Respiratory Acute Onset Distress,Palpitations,3
2564,Breathing Problem,Respiratory Acute Onset Distress,Pneumonia,38
2565,Breathing Problem,Respiratory Acute Onset Distress,Pneumonitis,7
2566,Breathing Problem,Respiratory Acute Onset Distress,Pneumothorax,3
2570,Breathing Problem,Respiratory Acute Onset Distress,Pulmonary Embolism,14
2571,Breathing Problem,Respiratory Acute Onset Distress,Radiculopathy,3
2574,Breathing Problem,Respiratory Acute Onset Distress,Respiratory Failure,5
2579,Breathing Problem,Respiratory Acute Onset Distress,Sepsis,97
2582,Breathing Problem,Respiratory Acute Onset Distress,Shortness Of Breath,22
2591,Breathing Problem,Respiratory Acute Onset Distress,Syncope And Collapse,4
2595,Breathing Problem,Respiratory Acute Onset Distress,Urinary Tract Infection,4
2599,Breathing Problem,Respiratory Acute Onset Distress,Weakness,3
2601,Breathing Problem,Respiratory Acute Onset Distress,Wheezing,3
2613,Breathing Problem,Respiratory Arrest,Sepsis,4
2622,Breathing Problem,Respiratory Asthma,Acute And Chronic Respiratory Failure,3
2629,Breathing Problem,Respiratory Asthma,Acute Respiratory Failure,10
2631,Breathing Problem,Respiratory Asthma,Alcohol Abuse,3
2632,Breathing Problem,Respiratory Asthma,Asthma,44
2635,Breathing Problem,Respiratory Asthma,Chronic Obstructive Pulmonary Disease,9
2637,Breathing Problem,Respiratory Asthma,Diseases Of Vocal Cords,3
2638,Breathing Problem,Respiratory Asthma,Dyspnea,4
2651,Breathing Problem,Respiratory Asthma,Pneumonia,5
2655,Breathing Problem,Respiratory Asthma,Sepsis,5
2656,Breathing Problem,Respiratory Asthma,Severe Persistent Asthma,3
2657,Breathing Problem,Respiratory Asthma,Shortness Of Breath,3
2665,Breathing Problem,Respiratory Bronchospasm Acute Onset,Bronchitis,3
2674,Breathing Problem,Respiratory Copd Chronic Obstructive Pulmonary Disease,Acute And Chronic Respiratory Failure,14
2675,Breathing Problem,Respiratory Copd Chronic Obstructive Pulmonary Disease,Acute Respiratory Failure,13
2681,Breathing Problem,Respiratory Copd Chronic Obstructive Pulmonary Disease,Chronic Obstructive Pulmonary Disease,33
2683,Breathing Problem,Respiratory Copd Chronic Obstructive Pulmonary Disease,Dyspnea,3
2686,Breathing Problem,Respiratory Copd Chronic Obstructive Pulmonary Disease,Hyp Hrt & Chr Kdny Dis,4
2687,Breathing Problem,Respiratory Copd Chronic Obstructive Pulmonary Disease,Hypertensive Heart Disease,7
2694,Breathing Problem,Respiratory Copd Chronic Obstructive Pulmonary Disease,Pneumonia,4
2698,Breathing Problem,Respiratory Copd Chronic Obstructive Pulmonary Disease,Sepsis,26
2705,Breathing Problem,Respiratory Failure,Acute Respiratory Failure,4
2711,Breathing Problem,Respiratory Failure,Chronic Obstructive Pulmonary Disease,9
2713,Breathing Problem,Respiratory Failure,Hyp Hrt & Chr Kdny Dis,4
2714,Breathing Problem,Respiratory Failure,Hypertensive Heart Disease,3
2727,Breathing Problem,Respiratory Failure,Sepsis,12
2740,Breathing Problem,Respiratory Hyperventilation,Acute Respiratory Failure,3
2741,Breathing Problem,Respiratory Hyperventilation,Asthma,3
2743,Breathing Problem,Respiratory Hyperventilation,Chest Pain,5
2756,Breathing Problem,Respiratory Hyperventilation,Panic Disorder [Episodic Paroxysmal Anxiety],3
2769,Breathing Problem,Respiratory Not Otherwise Listed,Acute And Chronic Respiratory Failure,14
2770,Breathing Problem,Respiratory Not Otherwise Listed,Acute Bronchiolitis,4
2771,Breathing Problem,Respiratory Not Otherwise Listed,Acute Bronchitis,5
2774,Breathing Problem,Respiratory Not Otherwise Listed,Acute Obstructive Laryngitis [Croup],8
2778,Breathing Problem,Respiratory Not Otherwise Listed,Acute Respiratory Failure,12
2785,Breathing Problem,Respiratory Not Otherwise Listed,Asthma,7
2788,Breathing Problem,Respiratory Not Otherwise Listed,Bacterial Pneumonia,4
2790,Breathing Problem,Respiratory Not Otherwise Listed,Bronchitis,4
2795,Breathing Problem,Respiratory Not Otherwise Listed,Chest Pain,8
2797,Breathing Problem,Respiratory Not Otherwise Listed,Chronic Obstructive Pulmonary Disease,12
2804,Breathing Problem,Respiratory Not Otherwise Listed,Dyspnea,9
2807,Breathing Problem,Respiratory Not Otherwise Listed,Flu,3
2811,Breathing Problem,Respiratory Not Otherwise Listed,Heart Failure,3
2813,Breathing Problem,Respiratory Not Otherwise Listed,Hyp Hrt & Chr Kdny Dis,4
2815,Breathing Problem,Respiratory Not Otherwise Listed,Hypertensive Heart Disease,8
2816,Breathing Problem,Respiratory Not Otherwise Listed,Hypoxemia,4
2825,Breathing Problem,Respiratory Not Otherwise Listed,Pneumonia,14
2829,Breathing Problem,Respiratory Not Otherwise Listed,Pulmonary Embolism,4
2833,Breathing Problem,Respiratory Not Otherwise Listed,Sepsis,18
2834,Breathing Problem,Respiratory Not Otherwise Listed,Shortness Of Breath,5
2841,Breathing Problem,Respiratory Not Otherwise Listed,Urinary Tract Infection,3
2845,Breathing Problem,Respiratory Pneumothorax Spontaneous,Chest Pain,4
2848,Breathing Problem,Respiratory Pulmonary Edema Acute Onset,Acute And Chronic Respiratory Failure,3
2876,Breathing Problem,Shoulder Lesions Shoulder,Chronic Obstructive Pulmonary Disease,3
2907,Breathing Problem,Syncope Syncopal Episode Or Near,Syncope And Collapse,5
2923,Breathing Problem,Weakness,Acute And Chronic Respiratory Failure,3
2929,Breathing Problem,Weakness,Acute Respiratory Failure,3
2934,Breathing Problem,Weakness,Anxiety Disorder,3
2942,Breathing Problem,Weakness,Chest Pain,5
2943,Breathing Problem,Weakness,Chronic Obstructive Pulmonary Disease,5
2947,Breathing Problem,Weakness,Dizziness And Giddiness,3
2959,Breathing Problem,Weakness,Hyp Hrt & Chr Kdny Dis,4
2961,Breathing Problem,Weakness,Hypertensive Heart Disease,5
2982,Breathing Problem,Weakness,Pneumonia,6
2988,Breathing Problem,Weakness,Sepsis,11
2989,Breathing Problem,Weakness,Shortness Of Breath,3
2993,Breathing Problem,Weakness,Syncope And Collapse,4
2994,Breathing Problem,Weakness,Urinary Tract Infection,4
2997,Breathing Problem,Weakness,Weakness,7
3044,Carbon Monoxide Hazmat Inhalation CBRN,Environment Suspected Exposure To A Health Hazard,Toxic Effect Of Carb Monx From Source,3
3070,Cardiac Arrest Death,Abuse Of Narcotic Ie Heroin,Poisoning By Heroin,9
3088,Cardiac Arrest Death,Behavioral Suicide Attempt,Asphyxiation,5
3093,Cardiac Arrest Death,CV Cardiac Arrest,Acute And Chronic Respiratory Failure,4
3096,Cardiac Arrest Death,CV Cardiac Arrest,Acute Respiratory Failure,5
3098,Cardiac Arrest Death,CV Cardiac Arrest,Anoxic Brain Damage,4
3099,Cardiac Arrest Death,CV Cardiac Arrest,Asphyxiation,7
3102,Cardiac Arrest Death,CV Cardiac Arrest,Cardiac Arrest,105
3121,Cardiac Arrest Death,CV Cardiac Arrest,Poisoning By Heroin,3
3131,Cardiac Arrest Death,CV Cardiac Arrest,Stemi Involving Coronary Artery Of Inferior Wall,4
