,complaint,impression,diagnosis,count
357,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Epigastric Pain,12
360,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Fecal Impaction,2
362,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Gastritis,4
366,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Generalized Abdominal Pain,14
367,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Generalized Anxiety Disorder,2
368,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Hydronephrosis,10
372,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Intestinal Obstruction,4
373,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Intestnl Adhesions,2
377,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Left Upper Quadrant Pain,2
379,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Major Depressive Disorder,3
382,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Nausea,6
384,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Noninfective Gastroenteritis And Colitis,7
387,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Ovarian Cyst,5
394,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Proc Trtmt Not Crd Out D T Pt Lv Bef Seen By Hlth Care Prov,3
400,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Retention Of Urine,2
401,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Right Lower Quadrant Pain,7
402,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Right Upper Quadrant Pain,2
406,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Sepsis,8
409,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Stimulant Dependence,2
411,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Toxic Effect Of Noxious Substance Eaten As Food,2
413,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,TubuloInterstitial Nephritis,3
418,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Umbilical Hernia,2
420,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Unilateral Inguinal Hernia,2
421,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Urinary Tract Infection,3
424,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Viral Intestinal Infection,2
426,Abdominal Pain Problems,GI GU Generalized Abdominal Pain,Vomiting,2
441,Abdominal Pain Problems,GI GU Nausea,Nausea,2
481,Abdominal Pain Problems,Injury Abdomen,Pnctr Of Abd Wall,4
493,Abdominal Pain Problems,Not Applicable,Abdominal Pain,2
495,Abdominal Pain Problems,Not Applicable,Acute Postprocedural Pain,2
498,Abdominal Pain Problems,Not Applicable,Constipation,2
501,Abdominal Pain Problems,Not Applicable,Generalized Abdominal Pain,2
503,Abdominal Pain Problems,Not Applicable,Left Lower Quadrant Pain,2
505,Abdominal Pain Problems,Not Applicable,Pelvic And Perineal Pain,2
508,Abdominal Pain Problems,Not Applicable,Sepsis,3
509,Abdominal Pain Problems,Not Applicable,Strain Of Musclele,2
519,Abdominal Pain Problems,Not Recorded,Biliary Acute Pancreatitis,2
523,Abdominal Pain Problems,Not Recorded,Constipation,2
528,Abdominal Pain Problems,Not Recorded,Epigastric Pain,2
531,Abdominal Pain Problems,Not Recorded,Generalized Abdominal Pain,4
536,Abdominal Pain Problems,Not Recorded,Intestinal Obstruction,2
542,Abdominal Pain Problems,Not Recorded,Nausea,2
543,Abdominal Pain Problems,Not Recorded,Noninfective Gastroenteritis And Colitis,3
545,Abdominal Pain Problems,Not Recorded,Periumbilical Pain,2
548,Abdominal Pain Problems,Not Recorded,Right Lower Quadrant Pain,2
567,Abdominal Pain Problems,Pain Back Nontraumatic,Abdominal Pain,2
581,Abdominal Pain Problems,Pain Not Elsewhere Mentioned Sudden Onset,Abdominal Pain,2
582,Abdominal Pain Problems,Pain Not Elsewhere Mentioned Sudden Onset,Abnormal Involuntary Movements,2
601,Abdominal Pain Problems,Shoulder Lesions Shoulder,Nausea,2
607,Abdominal Pain Problems,Weakness,Abdominal Pain,4
635,Allergic Reaction Stings,Allergic Reaction,Adverse Food Reactions,17
636,Allergic Reaction Stings,Allergic Reaction,Allergic Urticaria,2
637,Allergic Reaction Stings,Allergic Reaction,Allergy,25
638,Allergic Reaction Stings,Allergic Reaction,Anaphyl Reaction,2
639,Allergic Reaction Stings,Allergic Reaction,Anaphylactic Reaction,8
640,Allergic Reaction Stings,Allergic Reaction,Anaphylactic Shock,9
641,Allergic Reaction Stings,Allergic Reaction,Angioneurotic Edema,8
643,Allergic Reaction Stings,Allergic Reaction,Cellulitis Of Limb,3
647,Allergic Reaction Stings,Allergic Reaction,Cutaneous Abscess Of Limb,2
665,Allergic Reaction Stings,Allergic Reaction,Sepsis,3
666,Allergic Reaction Stings,Allergic Reaction,Shortness Of Breath,2
671,Allergic Reaction Stings,Allergic Reaction,Toxic Effect Of Venom Of Bees,9
673,Allergic Reaction Stings,Allergic Reaction,Toxic Effect Of Venom Of Wasps,5
674,Allergic Reaction Stings,Allergic Reaction,Urticaria,2
676,Allergic Reaction Stings,Allergic Reaction With Shock Anaphylaxis,Allergy,4
683,Allergic Reaction Stings,Behavioral Mental Disorder Not Otherwise Listed,Anxiety Disorder,2
685,Allergic Reaction Stings,Behavioral Mental Disorder Not Otherwise Listed,Schizophrenia,2
724,Allergic Reaction Stings,Not Recorded,Toxic Effect Of Venom Of Bees,2
728,Allergic Reaction Stings,Pain,Sepsis,2
731,Allergic Reaction Stings,Pain Extremety Nontraumatic,Allergy,2
732,Allergic Reaction Stings,Pain Extremety Nontraumatic,Pneumonia,2
739,Allergic Reaction Stings,Respiratory Acute Onset Distress,Allergy,2
746,Allergic Reaction Stings,Respiratory Acute Onset Distress,Toxic Effect Of Venom Of Bees,2
752,Allergic Reaction Stings,Respiratory Not Otherwise Listed,Allergy,2
755,Allergic Reaction Stings,Shock Anaphylactic,Anaphylactic Reaction,3
758,Allergic Reaction Stings,Shock Anaphylactic,Toxic Effect Of Venom Of Bees,2
767,Allergic Reaction Stings,Weakness,Chest Pain,3
776,Allergic Reaction Stings,Weakness,Weakness,3
792,Animal Bite,Injury Lower Leg,Open Bite,2
800,Animal Bite,Injury Of Face ,Open Bite Of Cheek And Temporomandibular Area,2
815,Animal Bite,Pain Not Elsewhere Mentioned Sudden Onset,Laceration ,2
823,Assault,Abuse Of Alcohol,Alcohol Abuse,5
826,Assault,Abuse Of Alcohol,Contusion Of Head,2
827,Assault,Abuse Of Alcohol,Fracture Of Skull And Facial Bones,2
836,Assault,Abuse Of Alcohol Intoxication,Injury Of Head,2
839,Assault,Abuse Of Alcohol Withdrawal,Alcohol Dependence,2
840,Assault,Abuse Of Alcohol Withdrawal,Suicidal Ideations,2
845,Assault,Acute Pain Due To Trauma,Laceration ,2
850,Assault,Behavioral Anxiety,Anxiety Disorder,2
853,Assault,Behavioral Anxiety,Laceration ,2
864,Assault,Behavioral Mental Disorder Not Otherwise Listed,Alcohol Dependence,2
873,Assault,Behavioral Mental Disorder Not Otherwise Listed,Restlessness And Agitation,3
874,Assault,Behavioral Mental Disorder Not Otherwise Listed,Schizophrenia,2
875,Assault,Behavioral Mental Disorder Not Otherwise Listed,Stimulant Abuse,2
877,Assault,Behavioral Mental Disorder Not Otherwise Listed,Suicidal Ideations,3
895,Assault,Eent Nose Bleed,Epistaxis,2
910,Assault,GI GU Pelvic Or Perineal Pain,Adult Sexual Abuse,2
915,Assault,Hemorrhage Not Elsewhere Classified,Fracture Of Nasal Bones,2
917,Assault,Hemorrhage Not Elsewhere Classified,Laceration ,2
925,Assault,Injury Chest Upper Chest,Contusion Of Front Wall Of Thorax,2
932,Assault,Injury Eye And Or Orbit,Contusion Of Eyelid And Periocular Area,2
933,Assault,Injury Eye And Or Orbit,Contusion Of Head,3
938,Assault,Injury Eye And Or Orbit,Laceration ,2
946,Assault,Injury Face,Fracture Of Nasal Bones,3
947,Assault,Injury Face,Fracture Of Orbital Floor,3
948,Assault,Injury Face,Injury Of Head,4
950,Assault,Injury Face,Laceration ,6
960,Assault,Injury Head,Concussion,3
963,Assault,Injury Head,Contusion Of Head,2
964,Assault,Injury Head,Contusion Of Scalp,2
969,Assault,Injury Head,Injury Of Head,6
970,Assault,Injury Head,Intracranial Injury,2
971,Assault,Injury Head,Laceration ,16
979,Assault,Injury Head With Loc,Laceration ,2
984,Assault,Injury Head Without Loc,Contusion Of Head,2
986,Assault,Injury Head Without Loc,Fracture Of Orbital Floor,2
987,Assault,Injury Head Without Loc,Injury Of Head,3
988,Assault,Injury Head Without Loc,Laceration ,5
993,Assault,Injury Lower Leg,Contusion Of Leg,2
1003,Assault,Injury Not Otherwise Listed,Adult Sexual Abuse,2
1004,Assault,Injury Not Otherwise Listed,Alcohol Abuse,2
1007,Assault,Injury Not Otherwise Listed,Blister Nonthermal,2
1009,Assault,Injury Not Otherwise Listed,Concussion,5
1010,Assault,Injury Not Otherwise Listed,Contusion Of Arm,2
1012,Assault,Injury Not Otherwise Listed,Contusion Of Eyeball And Orbital Tissues,2
1015,Assault,Injury Not Otherwise Listed,Contusion Of Front Wall Of Thorax,4
1016,Assault,Injury Not Otherwise Listed,Contusion Of Head,9
1017,Assault,Injury Not Otherwise Listed,Contusion Of Scalp,3
1021,Assault,Injury Not Otherwise Listed,Dislocation Of Shoulder Joint,2
1028,Assault,Injury Not Otherwise Listed,Encounter For Exam And Obs Alleged Adult Rape,2
1032,Assault,Injury Not Otherwise Listed,Fracture Of Base Of Skull,4
1035,Assault,Injury Not Otherwise Listed,Fracture Of Nasal Bones,3
1039,Assault,Injury Not Otherwise Listed,Fracture Of Orbital Floor,3
1043,Assault,Injury Not Otherwise Listed,Headache,3
1047,Assault,Injury Not Otherwise Listed,Laceration ,29
1050,Assault,Injury Not Otherwise Listed,Major Depressive Disorder,2
1060,Assault,Injury Not Otherwise Listed,Psychoactive Substance Abuse,2
1063,Assault,Injury Not Otherwise Listed,Stimulant Abuse,2
1065,Assault,Injury Not Otherwise Listed,Strain Of Musclele,2
1075,Assault,Injury Of Cranial Nerve ,Laceration ,2
1078,Assault,Injury Shoulder Or Upper Arm,Cellulitis Of Finger,2
1092,Assault,Injury Wrist Hand Or Fingers,Laceration ,3
1098,Assault,Laceration ion Without Foreign Body Thigh Sequela,Laceration ,3
1106,Assault,Maltreatment Adult Sexual Abuse Rape Suspected,Adult Sexual Abuse,2
1119,Assault,Neuro Altered Mental Status Altered Loc Decreased Loc,Traumatic Subrac Hem,2
1125,Assault,Neuro Headache Pain,Contusion Of Head,2
1128,Assault,Neuro Headache Pain,Injury Of Head,2
1138,Assault,Not Applicable,Laceration ,2
1141,Assault,Not Applicable,Stimulant Abuse,3
1143,Assault,Not Applicable,Suicidal Ideations,2
1145,Assault,Not Recorded,Adult Sexual Abuse,2
1148,Assault,Not Recorded,Concussion,2
1150,Assault,Not Recorded,Fracture Of Olecran Pro,2
1151,Assault,Not Recorded,Fracture Of Shaft Of Ulna,2
1152,Assault,Not Recorded,Laceration ,2
1156,Assault,Not Recorded,Stimulant Abuse,3
1164,Assault,Pain,Injury Of Head,3
1166,Assault,Pain,Laceration ,2
1177,Assault,Pain Chest Presumed Noncardiac,Contusion Of Front Wall Of Thorax,2
1181,Assault,Pain Extremety Nontraumatic,Blister Nonthermal,2
1182,Assault,Pain Extremety Nontraumatic,Contusion Of Arm,2
1185,Assault,Pain Not Elsewhere Classified,Dementia,2
1186,Assault,Pain Not Elsewhere Classified,Encounterfor Exam And Obs ,2
1191,Assault,Pain Not Elsewhere Mentioned Sudden Onset,Contusion Of Front Wall Of Thorax,3
1198,Assault,Pain Not Elsewhere Mentioned Sudden Onset,Laceration ,4
1213,Assault,Sexual Abuse Suspected,Adult Sexual Abuse,11
1256,Back Pain NonTraumatic,GI GU Abdominal Pain Acute Onset,Hydronephrosis,4
1257,Back Pain NonTraumatic,GI GU Abdominal Pain Acute Onset,Pain In Thoracic Spine,2
1280,Back Pain NonTraumatic,Injury Lower Back,Low Back Pain,13
1285,Back Pain NonTraumatic,Injury Lower Back,Strain Of Musclele,2
1289,Back Pain NonTraumatic,Injury Not Otherwise Listed,Low Back Pain,2
1295,Back Pain NonTraumatic,Low Back Pain,Low Back Pain,2
1306,Back Pain NonTraumatic,Not Applicable,Low Back Pain,2
1311,Back Pain NonTraumatic,Not Recorded,Calculus Of Kidney,2
1315,Back Pain NonTraumatic,Not Recorded,Low Back Pain,3
1321,Back Pain NonTraumatic,Not Recorded,Strain Of Musclele,2
1327,Back Pain NonTraumatic,Pain,Calculus Of Kidney,2
1329,Back Pain NonTraumatic,Pain,Cervicalgia,2
1330,Back Pain NonTraumatic,Pain,Chest Pain,2
1331,Back Pain NonTraumatic,Pain,Chronic Pain,2
1338,Back Pain NonTraumatic,Pain,Fracture Of Lumbar Vertebra,2
1339,Back Pain NonTraumatic,Pain,Intervertebral Disc Disorder,2
1342,Back Pain NonTraumatic,Pain,Low Back Pain,8
1352,Back Pain NonTraumatic,Pain,Strain Of Musclele,4
1355,Back Pain NonTraumatic,Pain,Urinary Tract Infection,2
1359,Back Pain NonTraumatic,Pain Back Nontraumatic,Abdominal Pain,10
1365,Back Pain NonTraumatic,Pain Back Nontraumatic,AgeRel Osteoporosis,2
1367,Back Pain NonTraumatic,Pain Back Nontraumatic,Alcohol Dependence,2
1370,Back Pain NonTraumatic,Pain Back Nontraumatic,Calculus Of Kidney,3
1371,Back Pain NonTraumatic,Pain Back Nontraumatic,Calculus Of Ureter,3
1374,Back Pain NonTraumatic,Pain Back Nontraumatic,Chronic Pain,10
1375,Back Pain NonTraumatic,Pain Back Nontraumatic,Collapsed Vertebra,4
1384,Back Pain NonTraumatic,Pain Back Nontraumatic,Dorsalgia,20
1387,Back Pain NonTraumatic,Pain Back Nontraumatic,Fracture Of Lumbar Vertebra,5
1391,Back Pain NonTraumatic,Pain Back Nontraumatic,Hydronephrosis,2
1393,Back Pain NonTraumatic,Pain Back Nontraumatic,Intervertebral Disc Degeneration,4
1395,Back Pain NonTraumatic,Pain Back Nontraumatic,Intervertebral Disc Displacement,8
1397,Back Pain NonTraumatic,Pain Back Nontraumatic,Low Back Pain,59
1398,Back Pain NonTraumatic,Pain Back Nontraumatic,Lumbago,19
1400,Back Pain NonTraumatic,Pain Back Nontraumatic,Malingerer [Conscious Simulation],2
1402,Back Pain NonTraumatic,Pain Back Nontraumatic,Musclele Spasm Of Back,6
1403,Back Pain NonTraumatic,Pain Back Nontraumatic,Myalgia,2
1404,Back Pain NonTraumatic,Pain Back Nontraumatic,Nausea,2
1407,Back Pain NonTraumatic,Pain Back Nontraumatic,Pain In Hip,3
1408,Back Pain NonTraumatic,Pain Back Nontraumatic,Pain In Shoulder,2
1409,Back Pain NonTraumatic,Pain Back Nontraumatic,Pain In Thoracic Spine,7
1417,Back Pain NonTraumatic,Pain Back Nontraumatic,Radiculopathy,3
1418,Back Pain NonTraumatic,Pain Back Nontraumatic,Renal Colic,2
1421,Back Pain NonTraumatic,Pain Back Nontraumatic,Sciatica,4
1422,Back Pain NonTraumatic,Pain Back Nontraumatic,Secondary Malignant Neoplasm Of Bone,3
1423,Back Pain NonTraumatic,Pain Back Nontraumatic,Sepsis,8
1424,Back Pain NonTraumatic,Pain Back Nontraumatic,Spinal Stenosis,2
1429,Back Pain NonTraumatic,Pain Back Nontraumatic,Strain Of Musclele,13
1430,Back Pain NonTraumatic,Pain Back Nontraumatic,Strain Of Musclele And Tendon Of Back Wall Of Thorax,4
1433,Back Pain NonTraumatic,Pain Back Nontraumatic,Syndrome Of Inappropriate Secretion Of Antidiuretic Hormone,2
1434,Back Pain NonTraumatic,Pain Back Nontraumatic,TubuloInterstitial Nephritis,4
1435,Back Pain NonTraumatic,Pain Back Nontraumatic,Urinary Tract Infection,5
1441,Back Pain NonTraumatic,Pain Chronic,Abdominal Pain,4
1442,Back Pain NonTraumatic,Pain Chronic,Atopic Dermatitis,4
1445,Back Pain NonTraumatic,Pain Chronic,Low Back Pain,2
1455,Back Pain NonTraumatic,Pain Extremety Nontraumatic,Sciatica,2
1466,Back Pain NonTraumatic,Pain Not Elsewhere Mentioned Sudden Onset,Low Back Pain,3
1482,Breathing Problem,Abdominal Pain,Calculus Of Gallbladder,2
1484,Breathing Problem,Abdominal Pain,Chest Pain,2
1493,Breathing Problem,Abdominal Pain,Nausea,2
1496,Breathing Problem,Abdominal Pain,Pleural Effusion,2
1500,Breathing Problem,Abdominal Pain,Sepsis,3
1512,Breathing Problem,Abnormalities Of Breathing,Chronic Obstructive Pulmonary Disease,2
1514,Breathing Problem,Abnormalities Of Breathing,Dyspnea,2
1517,Breathing Problem,Abnormalities Of Breathing,Pneumonia,3
1520,Breathing Problem,Abuse Of Alcohol,Alcohol Abuse,5
1524,Breathing Problem,Abuse Of Alcohol,Strain Of Musclele,2
1526,Breathing Problem,Abuse Of Alcohol Intoxication,Alcohol Abuse,6
1527,Breathing Problem,Abuse Of Alcohol Intoxication,Alcohol Dependence,2
1537,Breathing Problem,Abuse Of Hallucinogen,Abrasion Of Hand,2
1538,Breathing Problem,Abuse Of Hallucinogen,Alcohol Abuse,2
1540,Breathing Problem,Abuse Of Hallucinogen,Anxiety Disorder,2
1541,Breathing Problem,Abuse Of Hallucinogen,Pain In Foot,2
1546,Breathing Problem,Abuse Of Psychoactive Substance,Altered Mental Status,2
1554,Breathing Problem,Abuse Of Psychoactive Substance,Stimulant Abuse,3
1561,Breathing Problem,Allergic Reaction,Abdominal Pain,2
1565,Breathing Problem,Allergic Reaction,Allergy,2
1566,Breathing Problem,Allergic Reaction,Anaphyl Reaction,2
1567,Breathing Problem,Allergic Reaction,Anaphylactic Reaction,3
1568,Breathing Problem,Allergic Reaction,Anaphylactic Shock,4
1581,Breathing Problem,Behavioral Anxiety,Alcohol Abuse,2
1583,Breathing Problem,Behavioral Anxiety,Allergy,2
1585,Breathing Problem,Behavioral Anxiety,Anxiety Disorder,5
1586,Breathing Problem,Behavioral Anxiety,Asthma,2
1590,Breathing Problem,Behavioral Anxiety,Chest Pain,7
1591,Breathing Problem,Behavioral Anxiety,Chronic Obstructive Pulmonary Disease,2
1602,Breathing Problem,Behavioral Anxiety,Generalized Anxiety Disorder,5
1605,Breathing Problem,Behavioral Anxiety,Opioid Dependence,2
1609,Breathing Problem,Behavioral Anxiety,Panic Disorder [Episodic Paroxysmal Anxiety],2
1613,Breathing Problem,Behavioral Anxiety,Sepsis,3
1615,Breathing Problem,Behavioral Anxiety,Shortness Of Breath,3
1628,Breathing Problem,Behavioral Hallucination Visual,Cutaneous Abscess Of Limb,2
1629,Breathing Problem,Behavioral Hallucination Visual,Manic Episode,2
1630,Breathing Problem,Behavioral Mental Disorder Not Otherwise Listed,Alcohol Abuse,2
1633,Breathing Problem,Behavioral Mental Disorder Not Otherwise Listed,Anxiety Disorder,7
1635,Breathing Problem,Behavioral Mental Disorder Not Otherwise Listed,Chest Pain,5
